"rank","Countdown","Spotify"
"129","Under Pressure - Queen / David Bowie","Under Pressure - Remastered - Queen David Bowie"
"130","Parabola - Tool","Parabola - Vitamin String Quartet"
"131","Santeria - Sublime","Santeria - Sublime"
"132","Jeremy - Pearl Jam","Jeremy - Pearl Jam"
"133","All Along The Watchtower - Jimi Hendrix","All Along the Watchtower - Jimi Hendrix"
"134","Jesus Of Suburbia - Green Day","Jesus Of Suburbia - Green Day"
"135","Run To The Hills - Iron Maiden","Run to the Hills - 1998 Remastered Version - Iron Maiden"
"136","Bow River - Cold Chisel","Bow River - 2011 Remastered - Cold Chisel"
"137","Nothingman - Pearl Jam","Nothingman - Remastered - Pearl Jam"
"138","Mind Dependency - Blindspott"," - "
"139","You Shook Me All Night Long - AC/DC","You Shook Me All Night Long - AC/DC"
"140","Whiskey In The Jar - Metallica","Whiskey In The Jar - Metallica"
"141","Bleed It Out - Linkin Park","Bleed It Out - Linkin Park"
"142","Best Of You - Foo Fighters","Best of You - Foo Fighters"
"143","Bullet With Butterfly Wings - Smashing Pumpkins","Bullet With Butterfly Wings - Remastered 2012 - The Smashing Pumpkins"
"144","I Am The Highway - Audioslave","I Am the Highway - Audioslave"
"145","The Unforgiven II - Metallica"," - "
"146","Ramble On - Led Zeppelin","Ramble On - Led Zeppelin"
"147","Come As You Are - Nirvana","Come As You Are - Nirvana"
"148","Bulls On Parade - Rage Against The Machine","Bulls On Parade - Rage Against The Machine"
"149","Creep - Radiohead"," - "
"150","Pour Some Sugar On Me - Def Leppard","Pour Some Sugar On Me - Remastered 2017 - Def Leppard"
"151","Harvester Of Sorrow - Metallica","Harvester Of Sorrow - Metallica"
"152","Cochise - Audioslave","Cochise - Audioslave"
"153","Do I Wanna Know - Arctic Monkeys","Do I Wanna Know? - Arctic Monkeys"
"154","Holy Wars ...The Punishment Due - Megadeth","Holy Wars...The Punishment Due - 2004 Digital Remaster - Megadeth"
"155","Tribute - Tenacious D","Tribute - Tenacious D"
"156","Crazy Train - Ozzy Osbourne"," - "
"157","Californication - Red Hot Chili Peppers","Californication - Red Hot Chili Peppers"
"158","Snuff - Slipknot","Snuff - Slipknot"
"159","No Leaf Clover - Metallica","No Leaf Clover - Live - Metallica"
"160","Glorified G - Pearl Jam","Glorified G (Remastered) - Pearl Jam"
"161","Hail To The King - Avenged Sevenfold","Hail to the King - Avenged Sevenfold"
"162","Don't Cry - Guns N' Roses","Don't Cry (Original) - Guns N' Roses"
"163","Go - Pearl Jam","Go (Remastered) - Pearl Jam"
"164","Spiders - System Of A Down","Spiders - System Of A Down"
"165","Man In The Box - Alice In Chains","Man in the Box - Alice In Chains"
"166","Zombie - Bad Wolves","Zombie - Bad Wolves"
"167","Fell On Black Days - Soundgarden","Fell On Black Days - Soundgarden"
"168","Tiny Little Island - Villainy"," - "
"169","No More Tears - Ozzy Osbourne","Mama, I'm Coming Home - Ozzy Osbourne"
"170","Start A Revolution - Devilskin","Start a Revolution - Devilskin"
"171","It's A Long Way To The Top (If You Wanna Rock N' Roll) - AC/DC"," - "
"172","Bullet In The Head - Rage Against The Machine","Bullet In the Head - Rage Against The Machine"
"173","Dream On - Aerosmith","Dream On - Aerosmith"
"174","Safari Song - Greta Van Fleet"," - "
"175","Creeping Death - Metallica","Creeping Death - Creeping Death EP Version / Remastered - Metallica"
"176","Hero Of War - Rise Against","Hero Of War - Rise Against"
"177","Livin' On A Prayer - Bon Jovi","Livin' On A Prayer - Bon Jovi"
"178","Change (In The House Of Flies) - Deftones","Change (In the House of Flies) - In The House Of Flies LP Version - Deftones"
"179","So Long, And Thanks For All The Fish - A Perfect Circle","So Long, And Thanks For All The Fish - A Perfect Circle"
"180","The Number Of The Beast - Iron Maiden","Run to the Hills - 1998 Remastered Version - Iron Maiden"
"181","You Never Knew My Mind - Chris Cornell"," - "
"182","You Could Be Mine - Guns N' Roses","You Could Be Mine - Guns N' Roses"
"183","One Step Closer - Linkin Park","One Step Closer - Linkin Park"
"184","Paint It Black - The Rolling Stones","Paint It Black - The Rolling Stones"
"185","Make It Wit Chu - Queens Of The Stone Age","Make It Wit Chu - Queens of the Stone Age"
"186","Patience - Guns N' Roses","Patience - Guns N' Roses"
"187","Three Libras - A Perfect Circle","3 Libras - A Perfect Circle"
"188","Prison Sex - Tool"," - "
"189","Lightning Crashes - Live","Lightning Crashes - Live"
"190","Fuel - Metallica"," - "
"191","Nearly Forgot My Broken Heart - Chris Cornell","Nearly Forgot My Broken Heart - Chris Cornell"
"192","...And Justice For All - Metallica","One - Metallica"
"193","Forever Now - Cold Chisel","Forever Now - 2011 Remastered - Cold Chisel"
"194","Savior - Rise Against","Savior - Rise Against"
"195","Hallowed Be Thy Name - Iron Maiden","Hallowed Be Thy Name - 1998 Remastered Version - Iron Maiden"
"196","Knockin' On Heaven's Door - Guns N' Roses","Knockin' On Heaven's Door - Guns N' Roses"
"197","Heart Shaped Box - Nirvana","Heart-Shaped Box - Nirvana"
"198","Jambi - Tool"," - "
"199","Learning To Fly - Pink Floyd","Learning to Fly - Pink Floyd James Guthrie"
"200","Turn The Page - Metallica","Turn The Page - Metallica"
"201","Livin' On The 110 - Prophets of Rage"," - "
"202","Even Flow - Pearl Jam","Even Flow - Pearl Jam"
"203","One Bourbon, One Scotch, One Beer - George Thorogood"," - "
"204","Show Me How To Live - Audioslave","Show Me How to Live - Audioslave"
"205","Animal - Pearl Jam","Animal (Remastered) - Pearl Jam"
"206","Raining Blood - Slayer","Raining Blood - Slayer"
"207","Whole Lotta Love - Led Zeppelin","Whole Lotta Love - Led Zeppelin"
"208","Free Falling - Tom Petty"," - "
"209","Passenger - Deftones","Passenger - Deftones"
"210","Let There Be Rock - AC/DC","Let There Be Rock - AC/DC"
"211","Down In A Hole - Alice In Chains","Down In A Hole - Alice In Chains"
"212","On The Turning Away - Pink Floyd","On the Turning Away - Pink Floyd James Guthrie"
"213","Run - Shihad","Run - Pacifier / Shihad"
"214","Mary Jane's Last Dance - Tom Petty","Mary Jane's Last Dance (Originally Performed by Tom Petty) [Karaoke Version] - Cooltone Karaoke"
"215","Elderly Woman Behind The Counter In A Small Town - Pearl Jam","Elderly Woman Behind the Counter in a Small Town (Remastered) - Pearl Jam"
"216","Dirty Deeds Done Dirt - AC/DC","Dirty Deeds Done Dirt Cheap - AC/DC"
"217","Bad Company - Five Finger Death Punch","Bad Company - Five Finger Death Punch"
"218","Sympathy For The Devil - The Rolling Stones"," - "
"219","Rats - Pearl Jam","Rats (Remastered) - Pearl Jam"
"220","Mr Brownstone - Guns N' Roses","Mr. Brownstone - Guns N' Roses"
"221","Safe Passage - Villainy"," - "
"222","Mama I'm Coming Home - Ozzy Osbourne","Mama, I'm Coming Home - Ozzy Osbourne"
"223","Seven Nation Army - The White Stripes","Seven Nation Army - The White Stripes"
"224","When The War Is Over - Cold Chisel","When The War Is Over - 2011 Remastered - Cold Chisel"
"225","Plush - Stone Temple Pilots","Plush - Stone Temple Pilots"
"226","Iron Man - Black Sabbath","Iron Man - 2009 Remastered Version - Black Sabbath"
"227","The Way You Used To Do - Queens Of The Stone Age","The Way You Used to Do - Queens of the Stone Age"
"228","The Trooper - Iron Maiden","The Trooper - 1998 Remastered Version - Iron Maiden"
"229","Fast Times In Tahoe - Elemeno P","Fast Times in Tahoe - Elemeno P"
"230","Go Your Own Way - Fleetwood Mac","Go Your Own Way - 2004 Remastered Edition - Fleetwood Mac"
"231","Never See The Light - Devilskin","Never See the Light - Devilskin"
"232","Little One - Highly Suspect","Little One - Highly Suspect"
"233","Whole Lotta Rosie - AC/DC","Whole Lotta Rosie - AC/DC"
"234","Indifference - Pearl Jam","Indifference (Remastered) - Pearl Jam"
"235","Break Stuff - Limp Bizkit","Break Stuff - Limp Bizkit"
"236","Psychosocial - Slipknot","Psychosocial - Slipknot"
"237","Where Did You Sleep Last Night? (Unplugged) - Nirvana","Where Did You Sleep Last Night - Nirvana"
"238","Kryptonite - 3 Doors Down","Kryptonite - 3 Doors Down"
"239","Vessel - Devilskin","Vessel - Devilskin"
"240","Interstate Love Song - Stone Temple Pilots","Interstate Love Song - Stone Temple Pilots"
"241","Rain - Dragon","Rain - Dragon"
"242","Sail - Awolnation","Sail - AWOLNATION"
"243","Ride On - AC/DC","Ride On - AC/DC"
"244","Fade - Devilskin","Fade - Devilskin"
"245","Black Dog - Led Zeppelin","Black Dog - Led Zeppelin"
"246","Blind - Korn","Blind - Korn"
"247","Lake Of Fire - Nirvana","Lake Of Fire - Nirvana"
"248","Never Tear Us Apart - INXS","Never Tear Us Apart - INXS"
"249","These Days - Foo Fighters","These Days - Foo Fighters"
"250","Hysteria - Def Leppard","Pour Some Sugar On Me - Remastered 2017 - Def Leppard"
"251","The Outlaw Torn - Metallica","The Outlaw Torn - Metallica"
"252","Wrong Way - Sublime","Wrong Way - Sublime"
"253","Feel Good Hit Of The Summer - Queens Of The Stone Age","Feel Good Hit Of The Summer - Queens of the Stone Age"
"254","Heroes - David Bowie","""Heroes"" - 2017 Remastered Version - David Bowie"
"255","Arabella - Arctic Monkeys","Arabella - Arctic Monkeys"
"256","Born In The U.S.A. - Bruce Springsteen","I'm on Fire - Bruce Springsteen"
"257","Say Hello To Heaven - Temple Of The Dog","Say Hello 2 Heaven - Temple Of The Dog"
"258","The Diary Of Jane - Breaking Benjamin"," - "
"259","Dazed And Confused - Led Zeppelin","Dazed And Confused - Led Zeppelin"
"260","Bring Me To Life - Evanescence","Bring Me To Life - Evanescence"
"261","Fat Bottomed Girls - Queen","Fat Bottomed Girls - 2011 Remaster - Queen"
"262","Closer - Kings Of Leon","Closer - Kings of Leon"
"263","Sweet Home Alabama - Lynyrd Skynyrd","Sweet Home Alabama - Lynyrd Skynyrd"
"264","Dani California - Red Hot Chili Peppers","Dani California - Red Hot Chili Peppers"
"265","Living Dead Girl - Rob Zombie","Living Dead Girl - Rob Zombie"
"266","American Idiot - Green Day","American Idiot - Green Day"
"267","Jesus Christ Pose - Soundgarden","Jesus Christ Pose - Soundgarden"
"268","Last Kiss - Pearl Jam"," - "
"269","Fear Of The Dark - Iron Maiden","Fear Of The Dark - 1998 Remastered Version - Iron Maiden"
"270","Home - Blacklistt","Home - Blacklistt"
"271","Copperhead Road - Steve Earle","Copperhead Road - Steve Earle"
"272","Sex On Fire - Kings Of Leon","Sex on Fire - Kings of Leon"
"273","Wanted Dead Or Alive - Bon Jovi","Wanted Dead Or Alive - Bon Jovi"
"274","Dammit - Blink 182","Dammit - blink-182"
"275","Rime Of The Ancient Mariner - Iron Maiden","Rime Of The Ancient Mariner - 1998 Remastered Version - Iron Maiden"
"276","Breaking The Habit - Linkin Park","Breaking The Habit - Linkin Park"
"277","You Got Nothing I Want - Cold Chisel","You Got Nothing I Want - 2011 Remastered - Cold Chisel"
"278","Knights Of Cydonia - Muse"," - "
"279","Cheap Wine - Cold Chisel","Cheap Wine - 2011 Remastered - Cold Chisel"
"280","H - Tool"," - "
"281","Billie Jean (Acoustic) - Chris Cornell"," - "
"282","Another Brick In The Wall - Pink Floyd","Another Brick in the Wall, Pt. 2 - Pink Floyd"
"283","Basket Case - Green Day","Basket Case - Green Day"
"284","Be Yourself - Audioslave","Be Yourself - Audioslave"
"285","In The Air Tonight - Phil Collins","In The Air Tonight - 2015 Remastered - Phil Collins"
"286","Behind Blue Eyes - Limp Bizkit","Behind Blue Eyes - Limp Bizkit"
"287","T.N.T. - AC/DC","T.N.T. - AC/DC"
"288","We Will Rock You - Queen"," - "
"289","Ten Thousand Fists - Disturbed","Stricken - Disturbed"
"290","Money - Pink Floyd","Money - Pink Floyd"
"291","King Nothing - Metallica","King Nothing - Metallica"
"292","Loyal - Dave Dobbyn","Loyal - Dave Dobbyn"
"293","Bodies - Drowning Pool","Bodies - Drowning Pool"
"294","Hey You - Pink Floyd","Hey You - Pink Floyd"
"295","Through Glass - Stone Sour","Through Glass - Stone Sour"
"296","Learning To Fly - Tom Petty","Learning To Fly - Tom Petty and the Heartbreakers"
"297","City Limits - I Am Giant"," - "
"298","The Day I Tried To Live - Soundgarden","The Day I Tried To Live - Soundgarden"
"299","Drive - Incubus","Drive - Incubus"
"300","Riders On The Storm - The Doors","LA Woman - Men United"
"301","Dirt - Devilskin","Dirt - Devilskin"
"302","I'd Die To Be With You Tonight - Jimmy Barnes","I'd Die To Be With You Tonight - Jimmy Barnes"
"303","Walk - Foo Fighters"," - "
"304","Choir Girl - Cold Chisel"," - "
"305","Lonely Day - System Of A Down","Lonely Day - System Of A Down"
"306","Bro Hymmn - Pennywise"," - "
"307","Battery - Metallica","Battery - Metallica"
"308","Glycerine - Bush","Glycerine - Remastered - Bush"
"309","Dragula - Rob Zombie","Dragula - Rob Zombie"
"310","I Don't Want To Miss A Thing - Aerosmith","I Don't Want to Miss a Thing (In the Style of Aerosmith) - Instrumental Only - ProSource Karaoke"
"311","We Rise - Devilskin","We Rise - Devilskin"
"312","Faint - Linkin Park","Faint - Linkin Park"
"313","The Voice - John Farnham","You're the Voice - John Farnham"
"314","So Cold - Breaking Benjamin","So Cold - Remix - Breaking Benjamin"
"315","Paradise By The Dashboard Light - Meatloaf","Paradise By The Dashboard Light (as made famous by Meatloaf) - The Bats Of Hell"
"316","Pardon Me - Incubus","Pardon Me - Incubus"
"317","I Won't Back Down - Tom Petty","I Won't Back Down - Tom Petty"
"318","R U Mine? - Arctic Monkeys","R U Mine? - Arctic Monkeys"
"319","Have A Cigar - Pink Floyd","Have a Cigar - Pink Floyd"
"320","Don't Tread On Me - Metallica"," - "
"321","Scar Tissue - Red Hot Chili Peppers","Scar Tissue - Red Hot Chili Peppers"
"322","Renegades Of Funk - Rage Against The Machine","Renegades Of Funk - Rage Against The Machine"
"323","Glory Days - Bruce Springsteen","Glory Days - Bruce Springsteen"
"324","All These Things That I've Done - The Killers","All These Things That I've Done - The Killers"
"325","Coming Undone - Korn"," - "
"326","The Power Of Love - Huey Lewis & The News","The Power Of Love - From ""Back To The Future"" - Huey Lewis & The News"
"327","Kickstart My Heart - Motley Crue","Kickstart My Heart - M?tley Cr?e"
"328","The Negative One - Slipknot"," - "
"329","Running Down A Dream - Tom Petty"," - "
"330","Pray - Devilskin","Pray - Devilskin"
"331","What I Got - Sublime","What I Got - Sublime"
"332","The Joker And The Thief - Wolfmother","Joker And The Thief - Wolfmother"
"333","Detroit Rock City - Kiss","Detroit Rock City - KISS"
"334","Yours Truly - Blindspott","Yours Truly - Blindspott"
"335","Wild Horses - The Rolling Stones","Wild Horses - The Rolling Stones"
"336","Times Like These - Foo Fighters","Times Like These - Foo Fighters"
"337","April Sun In Cuba - Dragon","April Sun in Cuba - Dragon"
"338","What I've Done - Linkin Park","What I've Done - Linkin Park"
"339","Smoke On The Water - Deep Purple","Smoke On The Water - Remastered 2012 - Deep Purple"
"340","Alandria - Foo Fighters"," - "
"341","Poison - Alice Cooper","Poison - Alice Cooper"
"342","Serotonia - Highly Suspect"," - "
"343","Land Of Confusion - Disturbed","Land Of Confusion - Disturbed"
"344","She Talks To Angels - The Black Crowes","She Talks To Angels - The Black Crowes"
"345","New Divide - Linkin Park","New Divide - Linkin Park"
"346","The Dope Show - Marilyn Manson","The Dope Show - Marilyn Manson"
"347","Why'd You Only Call Me When You're High? - Arctic Monkeys","Why'd You Only Call Me When You're High? - Arctic Monkeys"
"348","Photograph - Nickelback","Photograph - Nickelback"
"349","Buddy Holly - Weezer","Buddy Holly - Molotov Cocktail Piano"
"350","Cocaine - Eric Clapton","Cocaine - Eric Clapton"
"351","Dig - Incubus","Dig - Incubus"
"352","Wasted Years - Iron Maiden","Wasted Years - 1998 Remastered Version - Iron Maiden"
"353","Burn It To The Ground - Nickelback","Burn It To The Ground - Nickelback"
"354","Little Wing - The Jimi Hendrix Experience","Little Wing - Jimi Hendrix"
"355","Closer - Nine Inch Nails","Closer - Nine Inch Nails"
"356","I Bet That You Look Good On The Dancefloor - Arctic Monkeys","I Bet You Look Good On The Dancefloor - Arctic Monkeys"
"357","Be Mine Tonight - Th' Dudes","Be Mine Tonight - Th' Dudes"
"358","My Mind's Sedate - Shihad","My Mind's Sedate - Shihad Randy Staub"
"359","Adam's Song - Blink 182"," - "
"360","This Love - Pantera","This Love - Pantera"
"361","Go With The Flow - Queens Of The Stone Age","Go With The Flow - Queens of the Stone Age"
"362","Carolina - Kora"," - "
"363","Jacked Like The Ripper - Skinny Hobos","Jacked Like the Ripper - Skinny Hobos"
"364","El Scorcho - Weezer","El Scorcho - Weezer"
"365","God's Gonna Cut You Down - Johnny Cash"," - "
"366","House Of The Rising Sun - Five Finger Death Punch","House of The Rising Sun - Five Finger Death Punch"
"367","Wonderwall - Oasis","Wonderwall - Remastered - Oasis"
"368","Hero Of The Day - Metallica","Hero Of The Day - Metallica"
"369","Arrows - Foo Fighters","Arrows - Foo Fighters"
"370","Little Black Submarines - The Black Keys","Little Black Submarines - The Black Keys"
"371","1979 - Smashing Pumpkins","1979 - Remastered 2012 - The Smashing Pumpkins"
"372","Spoonman - Soundgarden","Spoonman - Soundgarden"
"373","Come Together - The Beatles","Come Together - Remastered 2009 - The Beatles"
"374","Self Esteem - The Offspring","Self Esteem - The Offspring"
"375","S.U.I.T - Blindspott","S.U.I.T - So Us Is This - Blindspott"
"376","Sweet Emotion - Aerosmith","Sweet Emotion - Aerosmith"
"377","Last Cup Of Sorrow - Faith No More","Last Cup Of Sorrow - Faith No More"
"378","Sabotage - Beastie Boys"," - "
"379","Wash It All Away - Five Finger Death Punch","Wash It All Away - Five Finger Death Punch"
"380","Life On Mars - David Bowie"," - "
"381","2 Minutes To Midnight - Iron Maiden","2 Minutes To Midnight - 1998 Remastered Version - Iron Maiden"
"382","D.O.A. - Foo Fighters"," - "
"383","No Quarter - Tool"," - "
"384","Moneytalks - AC/DC"," - "
"385","Bother - Stone Sour","Bother - Stone Sour"
"386","This Means War - Avenged Sevenfold","This Means War - Avenged Sevenfold"
"387","The Jack - AC/DC"," - "
"388","Jekyll And Hyde - Five Finger Death Punch","Jekyll and Hyde - Five Finger Death Punch"
"389","Hey Johnny Park - Foo Fighters","Hey, Johnny Park! - Foo Fighters"
"390","Don't Fear The Reaper - Blue Oyster Cult","(Don't Fear) The Reaper - Blue ?yster Cult"
"391","Prayer of the Refugee - Rise Against","Prayer Of The Refugee - Rise Against"
"392","Children Of The Grave - Black Sabbath","Children of the Grave - 2009 Remastered Version - Black Sabbath"
"393","I Wish You Were Here - Incubus"," - "
"394","Don't Stop Me Now - Queen","Don't Stop Me Now - Remastered - Queen"
"395","Give It Away - Red Hot Chili Peppers","Give It Away - Red Hot Chili Peppers"
"396","Last Resort - Papa Roach","Last Resort - Papa Roach"
"397","Somebody To Love - Queen","Somebody To Love - Remastered 2011 - Queen"
"398","Wheels - Foo Fighters"," - "
"399","Doin' Time - Sublime","Doin' Time - Sublime"
"400","Otherside - Red Hot Chili Peppers","Otherside - Red Hot Chili Peppers"
"401","Sweating Bullets - Megadeth","Sweating Bullets - Remastered - Megadeth"
"402","Breakout - Foo Fighters","Breakout - Foo Fighters"
"403","See You On The Other Side - Ozzy Osbourne","See You on the Other Side - Ozzy Osbourne"
"404","Higher Ground - Red Hot Chili Peppers","Higher Ground - Remastered - Red Hot Chili Peppers"
"405","Outshined - Soundgarden","Outshined - Soundgarden"
"406","Hold The Line - Toto","Hold the Line - Toto"
"407","Happy - Mudvayne","Happy? - Mudvayne"
"408","No Excuses - Alice In Chains","No Excuses - Alice In Chains"
"409","Guerilla Radio - Rage Against The Machine"," - "
"410","Champagne Supernova - Oasis","Champagne Supernova - Remastered - Oasis"
"411","Stupify - Disturbed","Stupify - Disturbed"
"412","The Man Who Sold The World (MTV Unplugged) - Nirvana","The Man Who Sold The World - Nirvana"
"413","Thunder Kiss '65 - White Zombie"," - "
